订单ID,客户ID,产品ID,日期,活动ID,数量,单价,总金额,利润,折扣率
O00002901,C999993844834,P009,2023-05-17,,1,294.19,294.19,132.63,0.0
O00002902,C999993844834,P001,2024-01-06,M006,1,480.24,422.61,232.88,0.12
O00002903,C999993844834,P023,2024-08-31,,1,146.55,146.55,49.4,0.0
O00002904,C999993844834,P024,2024-01-30,,1,184.77,184.77,58.85,0.0
O00002905,C999993844834,P031,2024-08-17,,1,771.87,771.87,384.46,0.0
O00002906,C999993826858,P037,2023-02-25,,2,672.33,1344.66,527.78,0.0
O00002907,C999993826858,P045,2023-11-11,M004,1,232.41,174.31,98.42,0.25
O00002908,C999993826858,P044,2023-12-04,M005,1,1290.46,1058.18,572.86,0.18
O00002909,C999993826858,P025,2023-08-02,,1,377.02,377.02,116.37,0.0
O00002910,C999993826858,P006,2023-01-13,,1,531.09,531.09,218.32,0.0
O00002911,C999993826858,P036,2023-10-31,,1,62.49,62.49,23.16,0.0
O00002912,C999993826825,P038,2023-12-04,,1,191.4,191.4,85.51,0.0
O00002913,C999993826825,P035,2023-06-14,,1,691.25,691.25,221.54,0.0
O00002914,C999993826825,P006,2024-03-12,,1,478.59,478.59,163.78,0.0
O00002915,C999993826825,P033,2023-02-05,,2,66.17,132.34,55.12,0.0
O00002916,C999993826825,P030,2023-08-15,M003,1,918.72,826.85,299.05,0.1
O00002917,C999993826825,P027,2024-07-19,,1,231.24,231.24,81.59,0.0
O00002918,C999993826825,P045,2023-04-27,,1,291.79,291.79,139.59,0.0
O00002919,C999993826825,P008,2024-02-03,,1,394.33,394.33,122.11,0.0
O00002920,C999993826825,P033,2023-05-30,,1,85.38,85.38,42.31,0.0
O00002921,C999993826575,P023,2024-02-24,,1,192.41,192.41,77.78,0.0
O00002922,C999993826575,P029,2024-09-22,,1,252.48,252.48,82.6,0.0
O00002923,C999993826575,P018,2023-08-16,M003,1,997.87,898.08,415.32,0.1
O00002924,C999993826575,P012,2024-05-20,,1,339.46,339.46,167.06,0.0
O00002925,C999993826575,P012,2023-02-08,,1,241.7,241.7,97.3,0.0
O00002926,C999993826575,P015,2023-01-06,,1,172.65,172.65,81.58,0.0
O00002927,C999993826575,P009,2023-09-22,,1,256.44,256.44,88.43,0.0
O00002928,C999993826575,P039,2023-04-09,,1,235.64,235.64,106.33,0.0
O00002929,C999993826575,P004,2024-05-31,,1,326.01,326.01,148.14,0.0
O00002930,C999993826575,P007,2024-03-22,,1,505.59,505.59,230.05,0.0
O00002931,C999993826575,P025,2023-03-30,M001,1,409.95,348.46,175.43,0.15
O00002932,C999993826575,P039,2023-06-20,,1,224.47,224.47,84.6,0.0
O00002933,C999993826575,P045,2023-12-08,,1,257.9,257.9,113.18,0.0
O00002934,C999993826575,P046,2023-06-17,M002,1,209.48,167.58,100.97,0.2
O00002935,C999993826575,P006,2023-12-04,M005,1,538.44,441.52,257.93,0.18
O00002936,C999993826575,P024,2024-02-09,,1,159.44,159.44,62.67,0.0
O00002937,C999993826575,P005,2024-05-26,,1,322.66,322.66,115.09,0.0
O00002938,C999993826575,P002,2024-02-03,,1,556.05,556.05,257.1,0.0
O00002939,C999993821102,P004,2024-04-28,,1,439.64,439.64,152.7,0.0
O00002940,C999993821102,P048,2024-03-22,,1,976.38,976.38,295.66,0.0
O00002941,C999993821102,P023,2024-03-11,,1,199.51,199.51,77.87,0.0
O00002942,C999993821102,P038,2023-08-28,,1,190.22,190.22,79.03,0.0
O00002943,C999993821102,P010,2024-06-17,,1,69.88,69.88,24.34,0.0
O00002944,C999993821102,P049,2023-06-17,,1,775.97,775.97,367.91,0.0
O00002945,C999993843794,P010,2024-01-23,,1,64.56,64.56,22.91,0.0
O00002946,C999993843794,P022,2023-08-16,,1,1102.42,1102.42,520.82,0.0
O00002947,C999993843794,P037,2023-10-25,,1,702.74,702.74,272.92,0.0
O00002948,C999993843794,P015,2023-07-29,,1,222.79,222.79,80.75,0.0
O00002949,C999993843794,P010,2023-04-01,,1,68.0,68.0,28.7,0.0
O00002950,C999993843794,P045,2023-08-31,,1,203.92,203.92,64.79,0.0
O00002951,C999993826495,P016,2024-03-03,,2,696.85,1393.7,680.28,0.0
O00002952,C999993826495,P031,2024-09-18,,1,730.22,730.22,284.18,0.0
O00002953,C999993826495,P048,2024-08-20,,2,1057.52,2115.04,684.35,0.0
O00002954,C999993826495,P035,2023-03-02,,2,565.22,1130.44,426.65,0.0
O00002955,C999993826495,P019,2023-05-19,,1,271.54,271.54,86.49,0.0
O00002956,C999993826495,P046,2023-06-19,,1,223.11,223.11,79.23,0.0
O00002957,C999993820696,P029,2023-05-13,,1,356.35,356.35,127.44,0.0
O00002958,C999993820696,P003,2024-07-12,,1,685.9,685.9,266.15,0.0
O00002959,C999993820696,P031,2024-02-26,,1,887.51,887.51,359.16,0.0
O00002960,C999993820696,P017,2023-11-28,,1,480.56,480.56,175.17,0.0
O00002961,C999993820696,P013,2024-05-04,,1,938.74,938.74,376.97,0.0
O00002962,C999993820696,P047,2023-02-11,,1,324.31,324.31,116.95,0.0
O00002963,C999993820696,P021,2023-08-31,,1,1196.39,1196.39,405.98,0.0
O00002964,C999993820696,P034,2023-12-31,,1,159.31,159.31,61.67,0.0
O00002965,C999993820696,P009,2023-05-05,,1,290.42,290.42,126.05,0.0
O00002966,C999993846751,P032,2024-09-02,,1,814.96,814.96,310.79,0.0
O00002967,C999993846751,P007,2023-05-14,,1,545.68,545.68,180.81,0.0
O00002968,C999993846751,P015,2024-03-28,,2,181.36,362.72,146.79,0.0
O00002969,C999993846751,P022,2024-08-11,,1,1092.81,1092.81,384.78,0.0
O00002970,C999993846751,P024,2023-07-13,,1,199.78,199.78,87.91,0.0
O00002971,C999993846751,P007,2024-03-05,M008,1,580.45,493.38,203.13,0.15
O00002972,C999993869869,P048,2023-09-23,,1,1057.5,1057.5,468.42,0.0
O00002973,C999993869869,P030,2023-12-12,M005,1,851.66,698.36,402.9,0.18
O00002974,C999993869869,P022,2023-08-10,,1,1520.03,1520.03,737.9,0.0
O00002975,C999993846671,P049,2023-11-12,,1,549.72,549.72,267.94,0.0
O00002976,C999993846671,P009,2023-08-07,,1,246.17,246.17,106.53,0.0
O00002977,C999993846671,P018,2023-07-02,,1,1247.17,1247.17,452.87,0.0
O00002978,C999993846671,P043,2023-05-10,,1,264.06,264.06,101.83,0.0
O00002979,C999993846671,P012,2023-11-07,,1,339.45,339.45,124.78,0.0
O00002980,C999993846671,P042,2024-04-27,,1,331.74,331.74,99.68,0.0
O00002981,C999993846671,P021,2023-10-07,,1,1646.67,1646.67,809.67,0.0
O00002982,C999993846671,P007,2023-08-27,,2,553.88,1107.76,497.81,0.0
O00002983,C999993846671,P013,2023-04-28,,1,1039.4,1039.4,517.65,0.0
O00002984,C999993846671,P043,2023-09-17,,1,233.06,233.06,109.44,0.0
O00002985,C999993846671,P011,2024-03-27,,1,669.56,669.56,213.42,0.0
O00002986,C999993846671,P037,2024-05-17,,1,651.81,651.81,230.85,0.0
O00002987,C999993842361,P039,2024-04-08,,1,181.63,181.63,89.12,0.0
O00002988,C999993842361,P005,2023-09-25,,1,278.44,278.44,133.46,0.0
O00002989,C999993842361,P018,2024-09-18,,1,992.58,992.58,388.7,0.0
O00002990,C999993842372,P018,2024-07-15,,1,938.42,938.42,381.39,0.0
O00002991,C999993842372,P028,2023-01-06,,1,270.37,270.37,110.45,0.0
O00002992,C999993842372,P034,2024-08-18,,1,198.16,198.16,87.34,0.0
O00002993,C999993842372,P032,2023-06-15,,1,607.11,607.11,294.41,0.0
O00002994,C999993842372,P031,2023-08-25,,1,747.13,747.13,296.13,0.0
O00002995,C999993842372,P039,2023-10-29,,1,203.78,203.78,66.74,0.0
O00002996,C999993821146,P028,2024-01-13,M006,1,226.42,199.25,87.08,0.12
O00002997,C999993821146,P049,2023-03-11,M001,1,675.68,574.33,293.0,0.15
O00002998,C999993821146,P026,2023-01-11,,1,196.86,196.86,80.85,0.0
O00002999,C999993828517,P003,2024-05-08,,1,684.37,684.37,252.55,0.0
O00003000,C999993828517,P026,2024-03-10,,1,235.46,235.46,74.66,0.0
O00003001,C999993828517,P012,2024-07-14,,1,236.01,236.01,90.43,0.0
O00003002,C999993828517,P024,2024-04-27,,1,211.61,211.61,94.22,0.0
O00003003,C999993828517,P015,2024-07-21,,1,232.85,232.85,113.03,0.0
O00003004,C999993828517,P034,2024-05-05,,1,162.47,162.47,77.08,0.0
O00003005,C999993828517,P002,2024-01-15,M006,1,397.75,350.02,133.13,0.12
O00003006,C999993828517,P045,2023-09-09,,1,242.12,242.12,104.23,0.0
O00003007,C999993828517,P001,2023-09-13,,1,545.98,545.98,188.57,0.0
O00003008,C999993828517,P016,2023-12-14,,2,558.88,1117.76,525.48,0.0
O00003009,C999993828517,P023,2024-05-29,,1,180.29,180.29,86.74,0.0
O00003010,C999993828517,P025,2024-04-23,,1,376.38,376.38,187.38,0.0
O00003011,C999993828517,P032,2024-08-06,,1,831.5,831.5,382.32,0.0
O00003012,C999993828517,P049,2023-07-11,,1,770.97,770.97,300.15,0.0
O00003013,C999993828517,P041,2023-02-18,,1,387.39,387.39,182.97,0.0
O00003014,C999993846637,P043,2023-01-31,,1,220.42,220.42,105.28,0.0
O00003015,C999993846637,P046,2023-06-27,,1,261.49,261.49,110.36,0.0
O00003016,C999993846637,P044,2023-11-11,,1,1273.0,1273.0,634.97,0.0
O00003017,C999993846637,P050,2024-07-06,,1,698.34,698.34,279.42,0.0
O00003018,C999993846637,P015,2023-02-09,,1,162.38,162.38,68.36,0.0
O00003019,C999993846637,P005,2024-04-29,,1,224.2,224.2,103.51,0.0
O00003020,C999993846637,P046,2024-06-05,,1,215.16,215.16,87.45,0.0
O00003021,C999993846637,P015,2024-05-12,,1,169.59,169.59,55.26,0.0
O00003022,C999993846637,P024,2023-09-07,,1,216.4,216.4,67.72,0.0
O00003023,C999993846637,P010,2023-09-16,,1,61.69,61.69,22.84,0.0
O00003024,C999993846637,P007,2023-12-04,,1,544.23,544.23,174.19,0.0
O00003025,C999993846637,P034,2024-04-05,,1,173.06,173.06,72.23,0.0
O00003026,C999993846637,P045,2024-09-22,,1,264.68,264.68,85.77,0.0
O00003027,C999993846637,P045,2023-12-16,,1,280.59,280.59,125.45,0.0
O00003028,C999993846637,P007,2023-01-17,,1,437.2,437.2,172.01,0.0
O00003029,C999993846637,P020,2024-08-08,,2,67.4,134.8,53.97,0.0
O00003030,C999993846637,P020,2023-04-06,,1,67.62,67.62,21.14,0.0
O00003031,C999993846637,P036,2024-05-19,,1,51.63,51.63,23.09,0.0
O00003032,C999993846637,P050,2023-10-01,,1,787.86,787.86,348.6,0.0
O00003033,C999993846637,P032,2023-03-20,M001,1,690.7,587.1,218.04,0.15
O00003034,C999993828630,P037,2023-02-13,,1,724.54,724.54,274.03,0.0
O00003035,C999993828630,P021,2024-09-03,,1,1227.46,1227.46,511.08,0.0
O00003036,C999993828630,P013,2023-09-08,,1,1170.52,1170.52,371.31,0.0
O00003037,C999993828630,P021,2024-08-24,,1,1436.22,1436.22,551.88,0.0
O00003038,C999993828630,P005,2023-07-07,,1,261.54,261.54,93.19,0.0
O00003039,C999993828630,P023,2023-07-25,,1,142.87,142.87,66.8,0.0
O00003040,C999993864351,P008,2024-06-21,,1,451.93,451.93,163.38,0.0
O00003041,C999993864351,P049,2023-09-13,,1,722.99,722.99,355.2,0.0
O00003042,C999993864351,P044,2023-01-16,,1,1059.02,1059.02,374.37,0.0
O00003043,C999993864351,P019,2023-09-08,,2,230.22,460.44,211.49,0.0
O00003044,C999993864351,P010,2023-06-03,M002,1,67.75,54.2,31.86,0.2
O00003045,C999993864351,P006,2024-08-11,,1,432.69,432.69,175.43,0.0
O00003046,C999993828776,P007,2023-05-14,,1,587.66,587.66,268.99,0.0
O00003047,C999993828776,P036,2023-08-25,,1,68.33,68.33,26.73,0.0
O00003048,C999993828776,P027,2023-11-30,,1,276.81,276.81,92.16,0.0
O00003049,C999993828776,P016,2023-04-13,,1,509.69,509.69,223.48,0.0
O00003050,C999993828776,P016,2024-08-19,,1,621.1,621.1,254.12,0.0
O00003051,C999993828776,P016,2024-09-27,,1,545.25,545.25,196.57,0.0
O00003052,C999993828776,P046,2024-09-18,,1,213.99,213.99,80.96,0.0
O00003053,C999993828776,P044,2023-09-18,,1,963.08,963.08,373.4,0.0
O00003054,C999993828776,P005,2023-03-11,M001,2,323.18,549.41,222.15,0.15
O00003055,C999993828776,P015,2023-06-01,,1,199.37,199.37,88.0,0.0
O00003056,C999993828776,P047,2023-05-02,,1,247.02,247.02,98.89,0.0
O00003057,C999993828776,P050,2024-08-02,,1,940.02,940.02,314.53,0.0
O00003058,C999993828776,P015,2023-09-08,,1,209.99,209.99,71.59,0.0
O00003059,C999993828776,P040,2023-04-08,,2,112.5,225.0,68.13,0.0
O00003060,C999993828776,P005,2024-02-27,,1,284.21,284.21,98.72,0.0
O00003061,C999993828787,P040,2024-01-05,,1,102.03,102.03,41.48,0.0
O00003062,C999993828787,P005,2023-07-29,,1,283.42,283.42,124.35,0.0
O00003063,C999993828787,P028,2023-08-20,,1,198.44,198.44,94.59,0.0
O00003064,C999993828787,P020,2023-07-05,,1,64.98,64.98,26.8,0.0
O00003065,C999993828787,P037,2024-04-16,,1,689.73,689.73,322.62,0.0
O00003066,C999993828787,P029,2023-03-21,M001,1,312.86,265.93,119.94,0.15
O00003067,C999993828787,P003,2023-03-15,M001,1,480.97,408.82,187.89,0.15
O00003068,C999993828787,P037,2023-06-23,,1,937.37,937.37,386.56,0.0
O00003069,C999993828787,P049,2024-09-09,,1,799.89,799.89,397.95,0.0
O00003070,C999993828787,P031,2023-10-04,,1,824.51,824.51,382.25,0.0
O00003071,C999993828787,P036,2023-06-04,M002,1,59.58,47.66,25.24,0.2
O00003072,C999993828787,P044,2023-07-13,,1,1045.19,1045.19,343.17,0.0
O00003073,C999993828787,P028,2023-03-15,M001,1,208.9,177.56,99.54,0.15
O00003074,C999993828787,P028,2024-07-24,,1,182.52,182.52,87.39,0.0
O00003075,C999993828787,P014,2024-07-16,,1,422.91,422.91,152.33,0.0
O00003076,C999993828787,P023,2024-05-10,,1,187.16,187.16,87.97,0.0
O00003077,C999993828787,P029,2024-02-16,,1,340.5,340.5,102.24,0.0
O00003078,C999993828787,P018,2024-01-18,,1,920.18,920.18,377.8,0.0
O00003079,C999993828787,P027,2023-08-26,,1,238.33,238.33,91.37,0.0
O00003080,C999993828787,P030,2023-09-13,,1,833.34,833.34,265.16,0.0
O00003081,C999993828798,P018,2024-01-28,,1,1153.63,1153.63,396.05,0.0
O00003082,C999993828798,P029,2024-04-01,,2,257.16,514.32,212.37,0.0
O00003083,C999993828798,P035,2023-01-17,,1,672.07,672.07,309.17,0.0
O00003084,C999993828798,P046,2023-07-22,,1,240.71,240.71,102.67,0.0
O00003085,C999993828798,P012,2023-10-09,,1,272.36,272.36,119.0,0.0
O00003086,C999993828798,P036,2024-03-15,,1,71.05,71.05,26.73,0.0
O00003087,C999993828834,P034,2023-02-05,,1,154.7,154.7,64.43,0.0
O00003088,C999993828834,P001,2023-08-24,,1,544.65,544.65,262.94,0.0
O00003089,C999993828834,P037,2023-02-26,,1,804.81,804.81,394.56,0.0
O00003090,C999993865311,P003,2024-05-12,,1,633.46,633.46,206.97,0.0
O00003091,C999993865311,P048,2023-02-02,,1,1060.84,1060.84,409.62,0.0
O00003092,C999993865311,P016,2023-06-30,,1,550.58,550.58,194.24,0.0
O00003093,C999993865311,P015,2023-10-19,,2,208.41,416.82,184.3,0.0
O00003094,C999993865311,P019,2023-05-19,,2,228.1,456.2,150.83,0.0
O00003095,C999993865311,P049,2023-04-13,,1,738.93,738.93,342.49,0.0
O00003096,C999993865311,P050,2023-05-14,,1,757.41,757.41,314.64,0.0
O00003097,C999993865311,P008,2024-02-08,,1,402.49,402.49,167.3,0.0
O00003098,C999993865311,P022,2023-04-23,,1,1100.26,1100.26,471.57,0.0
O00003099,C999993865311,P029,2023-11-19,,1,356.98,356.98,126.71,0.0
O00003100,C999993865311,P006,2023-10-08,,2,502.01,1004.02,344.02,0.0
O00003101,C999993865311,P029,2024-07-04,,1,257.74,257.74,128.59,0.0
O00003102,C999993858632,P026,2023-12-26,,1,250.64,250.64,107.73,0.0
O00003103,C999993858632,P013,2023-03-18,,1,1197.13,1197.13,497.12,0.0
O00003104,C999993858632,P038,2023-08-15,,1,152.16,152.16,65.33,0.0
O00003105,C999993858632,P002,2024-07-08,,1,436.09,436.09,148.46,0.0
O00003106,C999993858632,P022,2024-03-05,,1,1337.94,1337.94,584.07,0.0
O00003107,C999993858632,P037,2023-01-27,,1,782.4,782.4,383.35,0.0
O00003108,C999993829247,P033,2023-08-08,,1,87.97,87.97,31.25,0.0
O00003109,C999993829247,P034,2023-01-19,,1,193.66,193.66,84.28,0.0
O00003110,C999993829247,P047,2024-03-27,,1,240.15,240.15,75.5,0.0
O00003111,C999993829247,P044,2024-01-01,,1,1266.11,1266.11,388.37,0.0
O00003112,C999993829247,P022,2024-08-19,,1,1103.49,1103.49,509.36,0.0
O00003113,C999993829247,P018,2024-04-30,,1,1200.13,1200.13,396.26,0.0
O00003114,C999993829247,P044,2023-11-22,,1,962.09,962.09,440.14,0.0
O00003115,C999993829247,P018,2024-05-04,,1,1272.97,1272.97,519.11,0.0
O00003116,C999993829247,P039,2023-11-17,,1,225.6,225.6,108.02,0.0
O00003117,C999993842928,P017,2023-11-18,,1,594.04,594.04,254.93,0.0
O00003118,C999993842928,P017,2024-08-14,,1,563.33,563.33,234.95,0.0
O00003119,C999993842928,P010,2024-05-05,,1,53.56,53.56,16.22,0.0
O00003120,C999993842928,P034,2023-10-29,,1,173.31,173.31,75.03,0.0
O00003121,C999993842928,P042,2023-06-16,M002,1,392.1,313.68,142.7,0.2
O00003122,C999993842928,P019,2023-07-30,,1,243.52,243.52,115.39,0.0
O00003123,C999993829543,P042,2023-11-02,,1,424.28,424.28,188.82,0.0
O00003124,C999993829543,P027,2023-11-06,,1,267.93,267.93,88.05,0.0
O00003125,C999993829543,P041,2023-03-14,,1,447.7,447.7,151.98,0.0
O00003126,C999993829543,P007,2023-08-23,,1,433.72,433.72,178.98,0.0
O00003127,C999993829543,P023,2023-04-07,,1,146.79,146.79,48.92,0.0
O00003128,C999993829543,P006,2024-09-17,,1,440.13,440.13,211.69,0.0
O00003129,C999993829543,P019,2023-12-11,M005,1,263.25,215.86,105.14,0.18
O00003130,C999993829543,P008,2023-01-13,,1,469.59,469.59,155.57,0.0
O00003131,C999993829543,P018,2024-02-01,,2,1225.08,2450.16,1051.49,0.0
O00003132,C999993829543,P011,2023-04-21,,1,668.24,668.24,291.33,0.0
O00003133,C999993829543,P045,2023-06-01,M002,1,290.27,232.22,118.7,0.2
O00003134,C999993829543,P015,2023-03-02,M001,1,219.53,186.6,91.03,0.15
O00003135,C999993829543,P015,2023-06-29,,1,232.26,232.26,113.89,0.0
O00003136,C999993829543,P033,2024-06-19,,1,81.95,81.95,33.93,0.0
O00003137,C999993829543,P023,2023-04-08,,1,193.83,193.83,92.05,0.0
O00003138,C999993829543,P022,2023-03-09,,1,1380.63,1380.63,464.81,0.0
O00003139,C999993829543,P044,2024-01-13,M006,1,1074.18,945.28,473.73,0.12
O00003140,C999993829543,P037,2023-04-28,,1,849.14,849.14,259.68,0.0
O00003141,C999993829543,P046,2024-08-30,,1,206.31,206.31,67.33,0.0
O00003142,C999993829543,P046,2024-04-20,,1,215.87,215.87,76.73,0.0
O00003143,C999993829598,P033,2024-04-23,,1,72.39,72.39,32.13,0.0
O00003144,C999993829598,P005,2024-02-16,,1,327.86,327.86,110.7,0.0
O00003145,C999993829598,P038,2024-02-27,,1,197.75,197.75,75.52,0.0
O00003146,C999993829598,P006,2023-11-09,M004,1,557.9,418.42,232.29,0.25
O00003147,C999993829598,P034,2024-04-09,,1,185.87,185.87,62.66,0.0
O00003148,C999993829598,P045,2023-04-10,,1,265.97,265.97,124.1,0.0
O00003149,C999993829598,P041,2023-06-12,M002,1,312.99,250.39,130.34,0.2
O00003150,C999993829598,P011,2024-09-12,,1,664.59,664.59,320.34,0.0
O00003151,C999993829598,P009,2023-06-29,,1,229.88,229.88,111.18,0.0
O00003152,C999993865446,P013,2024-01-04,M006,1,1003.14,882.76,345.37,0.12
O00003153,C999993865446,P002,2023-07-06,,1,524.98,524.98,197.82,0.0
O00003154,C999993865446,P008,2023-07-08,,1,450.47,450.47,164.12,0.0
O00003155,C999993865446,P008,2023-09-28,,1,395.61,395.61,147.22,0.0
O00003156,C999993865446,P021,2024-08-08,,1,1574.39,1574.39,721.25,0.0
O00003157,C999993865446,P021,2023-10-25,,1,1104.54,1104.54,546.06,0.0
O00003158,C999993865446,P004,2024-03-15,,1,358.0,358.0,149.11,0.0
O00003159,C999993865446,P002,2023-02-03,,1,552.13,552.13,215.58,0.0
O00003160,C999993865446,P005,2024-08-20,,1,228.6,228.6,69.9,0.0
O00003161,C999993865446,P048,2024-03-11,,1,899.75,899.75,284.6,0.0
O00003162,C999993865446,P023,2023-07-12,,1,161.04,161.04,48.84,0.0
O00003163,C999993865446,P037,2023-04-29,,2,867.84,1735.68,764.62,0.0
O00003164,C999993858790,P015,2024-06-08,,1,177.38,177.38,55.08,0.0
O00003165,C999993858790,P035,2024-07-29,,1,604.84,604.84,243.05,0.0
O00003166,C999993858790,P010,2023-11-21,,1,53.75,53.75,17.32,0.0
O00003167,C999993858790,P037,2023-01-12,,1,775.66,775.66,317.43,0.0
O00003168,C999993858790,P031,2023-03-16,M001,2,673.38,1144.75,621.46,0.15
O00003169,C999993858790,P017,2024-07-15,,1,659.32,659.32,301.7,0.0
O00003170,C999993858790,P021,2023-11-14,,1,1313.97,1313.97,617.07,0.0
O00003171,C999993858790,P040,2023-09-22,,1,112.45,112.45,54.21,0.0
O00003172,C999993858790,P041,2023-12-17,,1,418.4,418.4,154.97,0.0
O00003173,C999993858790,P025,2023-01-26,,1,481.71,481.71,238.79,0.0
O00003174,C999993858790,P017,2023-01-15,,1,684.1,684.1,274.07,0.0
O00003175,C999993858790,P031,2023-10-04,,1,935.53,935.53,350.34,0.0
O00003176,C999993858790,P023,2023-04-22,,1,161.44,161.44,67.54,0.0
O00003177,C999993858790,P002,2024-09-22,,1,491.51,491.51,237.53,0.0
O00003178,C999993858790,P041,2024-08-14,,1,442.58,442.58,184.83,0.0
O00003179,C999993829780,P008,2024-01-15,M006,1,320.93,282.42,138.37,0.12
O00003180,C999993829780,P020,2023-06-17,M002,1,70.94,56.75,31.19,0.2
O00003181,C999993829780,P048,2024-04-06,,1,890.76,890.76,441.33,0.0
O00003182,C999993829780,P028,2023-04-27,,1,270.7,270.7,135.14,0.0
O00003183,C999993829780,P044,2023-04-07,,2,1211.14,2422.28,736.05,0.0
O00003184,C999993829780,P011,2024-04-02,,1,730.42,730.42,293.01,0.0
O00003185,C999993829780,P027,2023-09-24,,1,237.29,237.29,115.53,0.0
O00003186,C999993829780,P041,2023-08-25,,1,371.64,371.64,135.43,0.0
O00003187,C999993829780,P049,2024-01-11,M006,1,689.45,606.72,252.81,0.12
O00003188,C999993858803,P031,2023-05-22,,1,819.69,819.69,365.79,0.0
O00003189,C999993858803,P016,2023-06-29,,2,527.79,1055.58,465.15,0.0
O00003190,C999993858803,P043,2024-03-02,,1,283.67,283.67,98.36,0.0
O00003191,C999993858803,P040,2024-07-14,,1,120.69,120.69,49.92,0.0
O00003192,C999993858803,P047,2023-04-18,,1,256.61,256.61,126.48,0.0
O00003193,C999993858803,P010,2023-01-26,,1,63.02,63.02,21.88,0.0
O00003194,C999993858803,P008,2024-01-20,,1,462.57,462.57,202.21,0.0
O00003195,C999993858803,P008,2023-04-20,,1,367.07,367.07,126.88,0.0
O00003196,C999993858803,P028,2024-03-25,,1,196.78,196.78,82.62,0.0
O00003197,C999993858803,P020,2023-09-28,,1,83.24,83.24,34.17,0.0
O00003198,C999993858803,P041,2024-06-30,,1,454.25,454.25,204.82,0.0
O00003199,C999993858803,P040,2024-06-05,,2,132.66,265.32,92.41,0.0
O00003200,C999993858803,P003,2023-04-01,,1,629.33,629.33,233.74,0.0
O00003201,C999993858803,P007,2023-03-04,M001,1,426.71,362.7,194.87,0.15
O00003202,C999993858803,P047,2024-01-26,,1,281.88,281.88,118.99,0.0
O00003203,C999993858803,P033,2024-07-27,,1,64.33,64.33,29.67,0.0
O00003204,C999993858803,P044,2024-07-05,,1,1050.7,1050.7,351.35,0.0
O00003205,C999993858803,P021,2024-07-11,,1,1528.3,1528.3,544.4,0.0
O00003206,C999993858803,P036,2023-03-13,,1,66.07,66.07,28.16,0.0
O00003207,C999993858803,P010,2023-06-21,,1,62.76,62.76,28.75,0.0
O00003208,C999993829837,P005,2024-07-18,,1,238.61,238.61,115.83,0.0
O00003209,C999993829837,P012,2023-02-05,,1,292.53,292.53,124.88,0.0
O00003210,C999993829837,P038,2023-08-31,,1,141.31,141.31,66.39,0.0
O00003211,C999993829837,P021,2024-08-08,,1,1262.94,1262.94,593.83,0.0
O00003212,C999993829837,P025,2023-04-15,,1,383.37,383.37,148.43,0.0
O00003213,C999993829837,P014,2023-12-10,M005,1,406.21,333.09,203.1,0.18
O00003214,C999993829837,P008,2024-09-02,,1,390.98,390.98,141.11,0.0
O00003215,C999993829837,P014,2024-09-19,,1,364.48,364.48,170.88,0.0
O00003216,C999993829837,P014,2024-06-06,,1,336.29,336.29,134.98,0.0
O00003217,C999993829837,P007,2024-02-03,,1,560.09,560.09,210.71,0.0
O00003218,C999993829837,P013,2023-07-15,,1,1042.42,1042.42,424.02,0.0
O00003219,C999993829837,P022,2024-05-08,,1,1378.84,1378.84,630.67,0.0
O00003220,C999993869870,P041,2023-05-18,,1,371.29,371.29,112.78,0.0
O00003221,C999993869870,P023,2024-06-13,,1,201.87,201.87,91.99,0.0
O00003222,C999993869870,P043,2023-02-16,,1,230.07,230.07,103.85,0.0
O00003223,C999993858199,P034,2023-04-04,,1,210.07,210.07,72.67,0.0
O00003224,C999993858199,P029,2024-07-04,,2,312.19,624.38,293.47,0.0
O00003225,C999993858199,P040,2023-07-06,,1,122.59,122.59,42.32,0.0
O00003226,C999993858199,P029,2024-03-31,,1,275.87,275.87,86.98,0.0
O00003227,C999993858199,P018,2024-05-11,,1,1145.67,1145.67,473.14,0.0
O00003228,C999993858199,P005,2024-04-10,,1,296.68,296.68,130.36,0.0
O00003229,C999993870308,P002,2024-06-09,,1,391.01,391.01,120.19,0.0
O00003230,C999993870308,P004,2023-01-11,,1,362.77,362.77,127.14,0.0
O00003231,C999993870308,P028,2024-08-02,,1,229.26,229.26,86.91,0.0
O00003232,C999993870308,P039,2024-03-07,M008,1,206.89,175.86,76.25,0.15
O00003233,C999993870308,P006,2024-03-03,,1,467.27,467.27,158.22,0.0
O00003234,C999993870308,P022,2024-01-10,M006,2,1139.53,2005.57,740.21,0.12
O00003235,C999993870308,P043,2023-07-30,,1,254.57,254.57,112.76,0.0
O00003236,C999993870308,P022,2024-06-24,,1,1330.75,1330.75,607.07,0.0
O00003237,C999993870308,P044,2023-06-18,M002,1,1273.63,1018.9,617.63,0.2
O00003238,C999993868129,P007,2023-11-19,,1,494.58,494.58,207.57,0.0
O00003239,C999993868129,P040,2023-11-04,M004,1,140.07,105.05,45.54,0.25
O00003240,C999993868129,P026,2023-10-16,,1,225.67,225.67,102.77,0.0
O00003241,C999993868129,P041,2023-11-17,,1,354.09,354.09,117.43,0.0
O00003242,C999993868129,P024,2024-01-15,,1,208.79,208.79,85.44,0.0
O00003243,C999993868129,P029,2023-07-31,,1,355.34,355.34,176.88,0.0
O00003244,C999993868129,P011,2024-04-26,,1,608.91,608.91,295.24,0.0
