客户ID,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total
C999993854637,66,9,4792.66,532.5177777777777,9,1.0,2,2,3,223,7
C999993854648,2,20,8684.33,434.2165,18,1.0,4,4,4,444,12
C999993854659,12,3,1166.55,388.84999999999997,3,0.0,4,1,1,411,6
C999993854660,46,6,3123.6899999999996,520.6149999999999,6,0.0,3,1,2,312,6
C999993854671,31,15,6657.780000000001,443.85200000000003,14,3.0,3,3,4,334,10
C999993854682,27,12,6842.4400000000005,570.2033333333334,12,1.0,3,3,4,334,10
C999993854693,11,9,5450.18,605.5755555555556,9,2.0,4,2,3,423,9
C999993854706,54,18,12411.38,689.521111111111,16,4.0,2,4,4,244,10
C999993854717,118,6,2871.5699999999997,478.59499999999997,6,0.0,1,1,2,112,4
C999993854728,56,6,4550.889999999999,758.4816666666666,6,2.0,2,1,3,213,6
C999993854739,58,6,3911.1699999999996,651.8616666666666,6,0.0,2,1,3,213,6
C999993854740,29,6,3694.19,615.6983333333334,5,0.0,3,1,3,313,7
C999993854751,175,6,3763.7799999999997,627.2966666666666,6,3.0,1,1,3,113,5
C999993854762,19,6,3222.89,537.1483333333333,6,1.0,4,1,2,412,7
C999993854773,17,6,3849.64,641.6066666666667,5,0.0,4,1,3,413,8
C999993854784,92,6,3268.33,544.7216666666667,6,0.0,2,1,2,212,5
C999993854795,16,6,3701.98,616.9966666666667,6,1.0,4,1,3,413,8
C999993854808,98,6,3055.81,509.3016666666667,6,0.0,2,1,2,212,5
C999993854819,22,12,6652.13,554.3441666666666,11,1.0,3,3,4,334,10
C999993854820,20,15,9389.84,625.9893333333333,15,1.0,4,3,4,434,11
C999993854831,149,6,5450.3099999999995,908.3849999999999,6,0.0,1,1,3,113,5
C999993854842,338,9,3254.88,361.65333333333336,8,1.0,1,2,2,122,5
C999993854853,68,3,1641.6599999999999,547.2199999999999,3,0.0,2,1,1,211,4
C999993854864,30,15,11174.31,744.954,11,1.0,3,3,4,334,10
C999993854875,60,20,8434.9,421.745,16,2.0,2,4,4,244,10
C999993854886,18,6,3803.22,633.87,6,0.0,4,1,3,413,8
C999993854897,40,6,1838.09,306.3483333333333,6,1.0,3,1,1,311,5
C999993854900,51,9,6181.09,686.7877777777778,7,1.0,3,2,4,324,9
C999993854911,4,20,7547.21,377.3605,17,0.0,4,4,4,444,12
C999993854922,201,3,2351.45,783.8166666666666,3,0.0,1,1,1,111,3
C999993854933,23,6,4653.21,775.535,6,0.0,3,1,3,313,7
C999993854944,8,15,7301.7,486.78,14,1.0,4,3,4,434,11
C999993854955,46,12,5461.24,455.1033333333333,12,2.0,3,3,3,333,9
C999993854966,98,9,4027.35,447.48333333333335,9,1.0,2,2,3,223,7
C999993854977,25,18,11196.45,622.0250000000001,16,4.0,3,4,4,344,11
C999993854988,185,6,3642.07,607.0116666666667,6,2.0,1,1,2,112,4
C999993854999,138,6,3855.33,642.555,6,0.0,1,1,3,113,5
C999993855007,149,6,2726.66,454.4433333333333,6,0.0,1,1,2,112,4
C999993855018,105,6,2112.74,352.1233333333333,5,1.0,2,1,1,211,4
C999993855029,57,6,2599.4500000000003,433.24166666666673,6,1.0,2,1,2,212,5
C999993855030,5,6,3667.5099999999998,611.2516666666667,6,0.0,4,1,3,413,8
C999993855041,39,6,2668.22,444.7033333333333,6,0.0,3,1,2,312,6
C999993855052,155,6,5936.02,989.3366666666667,6,1.0,1,1,4,114,6
C999993855063,60,6,3523.0699999999997,587.1783333333333,5,2.0,2,1,2,212,5
C999993855074,210,6,2763.24,460.53999999999996,6,1.0,1,1,2,112,4
C999993855085,88,6,3054.6099999999997,509.10166666666663,6,0.0,2,1,2,212,5
C999993855096,67,6,3320.3599999999997,553.3933333333333,6,0.0,2,1,2,212,5
C999993855109,42,12,4780.28,398.3566666666666,10,2.0,3,3,3,333,9
C999993855110,2,15,9774.130000000001,651.6086666666667,14,2.0,4,3,4,434,11
C999993855121,74,6,3412.92,568.82,6,0.0,2,1,2,212,5
C999993855132,15,9,4020.93,446.77,9,1.0,4,2,3,423,9
C999993855143,98,3,2961.5,987.1666666666666,3,0.0,2,1,2,212,5
C999993855154,99,15,8694.81,579.654,13,2.0,2,3,4,234,9
C999993855165,58,20,8254.119999999999,412.70599999999996,16,2.0,2,4,4,244,10
C999993855176,9,6,2281.41,380.23499999999996,5,0.0,4,1,1,411,6
C999993855187,32,6,2355.54,392.59,6,0.0,3,1,1,311,5
C999993855198,62,9,4040.0099999999998,448.89,8,1.0,2,2,3,223,7
C999993855201,18,20,7170.24,358.512,15,0.0,4,4,4,444,12
C999993855212,87,3,981.2,327.06666666666666,3,0.0,2,1,1,211,4
C999993855223,295,6,5028.59,838.0983333333334,6,1.0,1,1,3,113,5
C999993855234,30,15,8867.45,591.1633333333334,13,1.0,3,3,4,334,10
C999993855245,162,12,6050.89,504.24083333333334,11,5.0,1,3,4,134,8
C999993855256,90,9,4262.24,473.5822222222222,8,2.0,2,2,3,223,7
C999993855267,1,18,9371.79,520.6550000000001,14,2.0,4,4,4,444,12
C999993855278,25,6,2806.43,467.7383333333333,4,2.0,3,1,2,312,6
C999993855289,102,9,3648.06,405.34,8,2.0,2,2,2,222,6
C999993855290,60,9,3898.27,433.1411111111111,8,1.0,2,2,3,223,7
C999993855303,51,9,6096.07,677.3411111111111,9,0.0,3,2,4,324,9
C999993855314,6,9,5561.84,617.9822222222223,9,0.0,4,2,3,423,9
C999993855325,24,9,5259.44,584.3822222222221,8,0.0,3,2,3,323,8
C999993855336,102,9,4026.4,447.3777777777778,7,2.0,2,2,3,223,7
C999993855347,151,12,4050.03,337.5025,10,1.0,1,3,3,133,7
C999993855358,4,15,5798.97,386.598,14,5.0,4,3,3,433,10
C999993855369,2,6,1370.9499999999998,228.49166666666665,4,1.0,4,1,1,411,6
C999993855370,33,9,3249.56,361.0622222222222,9,1.0,3,2,2,322,7
C999993855381,3,3,627.79,209.26333333333332,3,0.0,4,1,1,411,6
C999993855392,89,15,5276.93,351.79533333333336,12,4.0,2,3,3,233,8
C999993855405,24,20,12890.35,644.5175,16,0.0,3,4,4,344,11
C999993855416,76,6,2810.5299999999997,468.4216666666666,5,0.0,2,1,2,212,5
C999993855427,206,6,2321.71,386.95166666666665,6,2.0,1,1,1,111,3
C999993855438,54,9,5230.63,581.1811111111111,8,1.0,2,2,3,223,7
C999993855449,8,20,7817.42,390.871,15,2.0,4,4,4,444,12
C999993855450,9,3,2158.38,719.46,3,0.0,4,1,1,411,6
C999993855461,89,6,4657.539999999999,776.2566666666665,6,1.0,2,1,3,213,6
C999993855472,2,15,4674.23,311.6153333333333,12,3.0,4,3,3,433,10
C999993855483,82,12,6598.36,549.8633333333333,11,1.0,2,3,4,234,9
C999993855494,5,9,3204.46,356.05111111111114,9,2.0,4,2,2,422,8
C999993855507,40,18,10295.69,571.9827777777778,18,0.0,3,4,4,344,11
C999993855518,39,6,3102.37,517.0616666666666,6,0.0,3,1,2,312,6
C999993855529,28,3,3031.21,1010.4033333333333,2,0.0,3,1,2,312,6
C999993855530,274,3,1884.0700000000002,628.0233333333334,3,0.0,1,1,1,111,3
C999993855541,120,3,1364.0,454.6666666666667,3,0.0,1,1,1,111,3
C999993855552,197,3,1024.22,341.4066666666667,3,0.0,1,1,1,111,3
C999993855563,279,3,1004.9,334.96666666666664,3,0.0,1,1,1,111,3
C999993855574,285,3,1597.9199999999998,532.64,3,0.0,1,1,1,111,3
C999993855585,361,3,623.52,207.84,3,0.0,1,1,1,111,3
C999993855596,17,3,2001.13,667.0433333333334,3,0.0,4,1,1,411,6
C999993855608,16,12,5036.599999999999,419.71666666666664,9,1.0,4,3,3,433,10
C999993855619,25,15,6953.79,463.586,13,1.0,3,3,4,334,10
C999993855620,49,6,2860.55,476.7583333333334,5,0.0,3,1,2,312,6
C999993855631,27,9,3742.06,415.78444444444443,8,0.0,3,2,3,323,8
C999993855642,147,3,1424.55,474.84999999999997,3,1.0,1,1,1,111,3
C999993855653,7,15,6878.84,458.58933333333334,12,2.0,4,3,4,434,11
C999993855664,128,20,12757.57,637.8785,16,3.0,1,4,4,144,9
C999993855675,60,6,4075.5299999999997,679.255,6,1.0,2,1,3,213,6
C999993855686,0,6,2652.83,442.1383333333333,5,0.0,4,1,2,412,7
C999993855697,18,9,5483.1900000000005,609.2433333333333,8,2.0,4,2,3,423,9
C999993855700,54,20,11465.45,573.2725,15,2.0,2,4,4,244,10
C999993855711,189,3,1765.6100000000001,588.5366666666667,3,1.0,1,1,1,111,3
C999993855722,33,6,1512.74,252.12333333333333,5,1.0,3,1,1,311,5
C999993855733,46,15,8520.66,568.044,11,1.0,3,3,4,334,10
C999993855744,22,12,7200.61,600.0508333333333,12,3.0,3,3,4,334,10
C999993855755,181,9,4797.63,533.07,9,0.0,1,2,3,123,6
C999993855766,13,18,13058.72,725.4844444444444,13,4.0,4,4,4,444,12
C999993855777,46,6,1832.59,305.4316666666667,6,0.0,3,1,1,311,5
C999993855788,160,6,2376.7200000000003,396.12000000000006,6,1.0,1,1,2,112,4
C999993855799,101,6,4209.97,701.6616666666667,6,1.0,2,1,3,213,6
C999993855802,20,6,1984.8899999999999,330.815,6,0.0,4,1,1,411,6
C999993855813,28,6,2177.02,362.83666666666664,5,0.0,3,1,1,311,5
C999993855824,253,6,2024.02,337.33666666666664,6,2.0,1,1,1,111,3
C999993855835,87,6,3497.54,582.9233333333333,6,2.0,2,1,2,212,5
C999993855846,106,6,2865.47,477.5783333333333,5,1.0,2,1,2,212,5
C999993855857,5,12,5786.219999999999,482.18499999999995,12,1.0,4,3,3,433,10
C999993855868,7,15,5340.1900000000005,356.0126666666667,14,3.0,4,3,3,433,10
C999993855879,11,6,2175.38,362.56333333333333,5,0.0,4,1,1,411,6
C999993855880,1,9,4167.51,463.0566666666667,9,1.0,4,2,3,423,9
C999993855891,163,3,1016.81,338.93666666666667,3,0.0,1,1,1,111,3
C999993855904,53,15,5093.49,339.566,13,1.0,3,3,3,333,9
C999993855915,27,20,9254.56,462.72799999999995,19,2.0,3,4,4,344,11
C999993855926,82,6,4827.64,804.6066666666667,5,0.0,2,1,3,213,6
C999993855937,214,6,2154.85,359.14166666666665,6,0.0,1,1,1,111,3
C999993855948,37,9,6848.24,760.9155555555556,9,0.0,3,2,4,324,9
C999993855959,19,20,11446.1,572.3050000000001,18,1.0,4,4,4,444,12
C999993855960,4,3,773.08,257.6933333333333,3,1.0,4,1,1,411,6
C999993855971,136,6,2050.86,341.81,6,1.0,1,1,1,111,3
C999993855982,15,15,6070.84,404.72266666666667,12,1.0,4,3,4,434,11
C999993855993,51,12,3518.54,293.21166666666664,11,3.0,3,3,2,332,8
C999993856000,192,9,3112.37,345.81888888888886,9,3.0,1,2,2,122,5
C999993856011,55,18,10750.04,597.2244444444445,14,0.0,2,4,4,244,10
C999993856022,89,6,2419.17,403.195,6,0.0,2,1,2,212,5
C999993856033,98,6,2751.33,458.555,5,0.0,2,1,2,212,5
C999993856044,68,6,2408.42,401.40333333333336,6,1.0,2,1,2,212,5
C999993856055,75,6,2127.57,354.595,6,1.0,2,1,1,211,4
C999993856066,9,6,1967.73,327.955,5,0.0,4,1,1,411,6
C999993856077,46,6,4009.09,668.1816666666667,6,0.0,3,1,3,313,7
C999993856088,228,6,1735.71,289.285,6,1.0,1,1,1,111,3
C999993856099,23,6,5682.94,947.1566666666666,6,0.0,3,1,3,313,7
C999993856102,39,6,2445.72,407.61999999999995,5,0.0,3,1,2,312,6
C999993856113,57,6,2153.4399999999996,358.9066666666666,6,1.0,2,1,1,211,4
C999993856124,141,6,3519.29,586.5483333333333,6,1.0,1,1,2,112,4
C999993856135,16,12,6474.03,539.5024999999999,12,1.0,4,3,4,434,11
C999993856146,4,15,7742.92,516.1946666666666,12,3.0,4,3,4,434,11
C999993856157,165,6,1897.1,316.18333333333334,6,1.0,1,1,1,111,3
C999993856168,18,9,5290.92,587.88,9,1.0,4,2,3,423,9
C999993856179,114,3,2394.1,798.0333333333333,3,1.0,2,1,2,212,5
C999993856180,32,15,8792.33,586.1553333333334,13,0.0,3,3,4,334,10
C999993856191,16,20,7611.17,380.5585,14,4.0,4,4,4,444,12
C999993856204,245,6,3221.79,536.965,6,0.0,1,1,2,112,4
C999993856215,144,6,2562.66,427.10999999999996,5,0.0,1,1,2,112,4
C999993856226,120,9,4337.679999999999,481.9644444444444,9,2.0,1,2,3,123,6
C999993856237,26,20,11694.53,584.7265,16,0.0,3,4,4,344,11
C999993856248,221,3,2865.6,955.1999999999999,3,0.0,1,1,2,112,4
C999993856259,157,6,6505.98,1084.33,4,0.0,1,1,4,114,6
C999993856260,21,15,8614.89,574.3259999999999,12,1.0,4,3,4,434,11
C999993856271,7,12,5240.3099999999995,436.69249999999994,12,0.0,4,3,3,433,10
C999993856282,30,9,5538.67,615.4077777777778,7,0.0,3,2,3,323,8
C999993856293,43,18,8873.77,492.9872222222223,15,1.0,3,4,4,344,11
C999993856306,24,6,2442.98,407.16333333333336,6,0.0,3,1,2,312,6
C999993856317,16,6,3742.02,623.67,6,0.0,4,1,3,413,8
C999993856328,63,6,2192.23,365.37166666666667,6,3.0,2,1,1,211,4
C999993856339,13,6,3041.16,506.85999999999996,6,0.0,4,1,2,412,7
C999993856340,134,6,2671.31,445.2183333333333,6,0.0,1,1,2,112,4
C999993856351,208,6,2165.71,360.95166666666665,6,0.0,1,1,1,111,3
C999993856362,177,6,3771.39,628.5649999999999,5,0.0,1,1,3,113,5
C999993856373,122,6,1812.33,302.055,6,2.0,1,1,1,111,3
C999993856384,18,6,2731.63,455.2716666666667,5,1.0,4,1,2,412,7
C999993856395,81,6,1877.51,312.91833333333335,6,0.0,2,1,1,211,4
C999993856408,15,12,6753.73,562.8108333333333,10,0.0,4,3,4,434,11
C999993856419,86,15,10250.52,683.368,12,2.0,2,3,4,234,9
C999993856420,276,6,2853.76,475.6266666666667,6,1.0,1,1,2,112,4
C999993856431,99,9,5429.43,603.27,9,1.0,2,2,3,223,7
C999993856442,9,3,1177.05,392.34999999999997,3,1.0,4,1,1,411,6
C999993856453,80,15,13836.0,922.4,13,1.0,2,3,4,234,9
C999993856464,18,20,10682.53,534.1265000000001,18,6.0,4,4,4,444,12
C999993856475,231,6,5343.21,890.535,6,2.0,1,1,3,113,5
C999993856486,8,6,2653.34,442.22333333333336,6,1.0,4,1,2,412,7
C999993856497,15,9,4221.4,469.0444444444444,8,0.0,4,2,3,423,9
C999993856500,7,20,9807.86,490.39300000000003,18,4.0,4,4,4,444,12
C999993856511,15,3,1219.9099999999999,406.6366666666666,3,0.0,4,1,1,411,6
C999993856522,29,6,4281.74,713.6233333333333,6,0.0,3,1,3,313,7
C999993856533,3,15,7975.049999999999,531.67,12,2.0,4,3,4,434,11
C999993856544,34,12,6248.8099999999995,520.7341666666666,10,3.0,3,3,4,334,10
C999993856555,96,9,3888.27,432.03,8,2.0,2,2,3,223,7
C999993856566,38,18,7087.12,393.7288888888889,15,1.0,3,4,4,344,11
C999993856577,75,6,2797.59,466.26500000000004,6,1.0,2,1,2,212,5
C999993856588,46,3,1982.52,660.84,3,1.0,3,1,1,311,5
C999993856599,24,3,2522.3,840.7666666666668,3,0.0,3,1,2,312,6
C999993856601,21,12,5498.02,458.16833333333335,12,0.0,4,3,3,433,10
C999993856612,57,15,11034.02,735.6013333333334,11,0.0,2,3,4,234,9
C999993856623,1,6,5759.12,959.8533333333334,5,0.0,4,1,3,413,8
C999993856634,97,9,6192.62,688.0688888888889,8,1.0,2,2,4,224,8
C999993856645,366,3,2512.06,837.3533333333334,3,0.0,1,1,2,112,4
C999993856656,39,15,5075.13,338.342,14,1.0,3,3,3,333,9
C999993856667,4,20,7419.83,370.9915,17,0.0,4,4,4,444,12
C999993856678,81,6,2175.5,362.5833333333333,6,1.0,2,1,1,211,4
C999993856689,0,6,4186.82,697.8033333333333,6,0.0,4,1,3,413,8
C999993856690,11,9,4028.75,447.6388888888889,9,0.0,4,2,3,423,9
C999993856703,51,20,11067.36,553.368,13,4.0,3,4,4,344,11
C999993856714,396,3,2384.17,794.7233333333334,3,0.0,1,1,2,112,4
C999993856725,106,6,3052.62,508.77,6,0.0,2,1,2,212,5
C999993856736,10,15,9858.45,657.23,14,1.0,4,3,4,434,11
C999993856747,3,12,5260.89,438.4075,10,1.0,4,3,3,433,10
C999993856758,12,9,4053.03,450.3366666666667,9,1.0,4,2,3,423,9
C999993856769,74,18,10130.34,562.7966666666666,15,4.0,2,4,4,244,10
C999993856770,38,6,2223.59,370.59833333333336,6,2.0,3,1,1,311,5
C999993856781,72,3,1395.65,465.2166666666667,3,0.0,2,1,1,211,4
C999993856792,27,3,880.3299999999999,293.4433333333333,3,0.0,3,1,1,311,5
C999993856805,311,3,2666.68,888.8933333333333,3,0.0,1,1,2,112,4
C999993856816,154,3,3136.17,1045.39,3,0.0,1,1,2,112,4
C999993856827,146,3,1130.6699999999998,376.88999999999993,3,2.0,1,1,1,111,3
C999993856838,162,3,953.1600000000001,317.72,3,0.0,1,1,1,111,3
C999993856849,255,3,695.21,231.73666666666668,3,0.0,1,1,1,111,3
C999993856850,185,3,1814.23,604.7433333333333,3,0.0,1,1,1,111,3
C999993856861,127,3,1692.1100000000001,564.0366666666667,3,0.0,1,1,1,111,3
C999993856872,114,12,8461.9,705.1583333333333,12,1.0,2,3,4,234,9
C999993856883,22,15,7127.91,475.194,12,0.0,3,3,4,334,10
C999993856894,181,6,2565.36,427.56,6,1.0,1,1,2,112,4
C999993856907,149,9,5164.360000000001,573.8177777777778,9,1.0,1,2,3,123,6
C999993856918,12,3,879.26,293.08666666666664,3,0.0,4,1,1,411,6
C999993856929,96,15,8745.67,583.0446666666667,13,1.0,2,3,4,234,9
C999993856930,6,20,8229.56,411.47799999999995,15,6.0,4,4,4,444,12
C999993856941,282,6,3774.4900000000002,629.0816666666667,6,1.0,1,1,3,113,5
C999993856952,43,6,2970.87,495.145,4,1.0,3,1,2,312,6
C999993856963,26,9,5304.74,589.4155555555556,8,2.0,3,2,3,323,8
C999993856974,12,20,9578.5,478.925,18,0.0,4,4,4,444,12
C999993856985,55,3,1775.13,591.71,3,1.0,2,1,1,211,4
C999993856996,105,6,4890.8,815.1333333333333,5,2.0,2,1,3,213,6
C999993857004,16,15,7348.860000000001,489.92400000000004,13,1.0,4,3,4,434,11
C999993857015,48,12,5533.33,461.11083333333335,11,0.0,3,3,3,333,9
C999993857026,43,9,5484.48,609.3866666666667,8,0.0,3,2,3,323,8
C999993857037,68,18,9947.65,552.6472222222222,16,2.0,2,4,4,244,10
C999993857048,1,6,2775.01,462.5016666666667,6,0.0,4,1,2,412,7
C999993857059,16,6,3372.93,562.155,6,0.0,4,1,2,412,7
C999993857060,5,6,4716.3,786.0500000000001,6,2.0,4,1,3,413,8
C999993857071,33,6,3293.2400000000002,548.8733333333333,5,0.0,3,1,2,312,6
C999993857082,265,6,3581.9700000000003,596.995,6,2.0,1,1,2,112,4
C999993857093,94,6,1787.52,297.92,5,1.0,2,1,1,211,4
C999993857106,26,6,3069.4700000000003,511.5783333333334,6,1.0,3,1,2,312,6
C999993857117,91,6,2915.82,485.97,6,0.0,2,1,2,212,5
C999993857128,37,6,2049.4500000000003,341.57500000000005,5,0.0,3,1,1,311,5
C999993857139,195,6,1747.0,291.1666666666667,6,0.0,1,1,1,111,3
C999993857140,16,6,3573.48,595.58,6,0.0,4,1,2,412,7
C999993857151,28,6,3347.86,557.9766666666667,6,0.0,3,1,2,312,6
C999993857162,31,12,8432.54,702.7116666666667,12,0.0,3,3,4,334,10
C999993857173,10,15,9078.11,605.2073333333334,13,2.0,4,3,4,434,11
C999993857184,90,6,3370.7000000000003,561.7833333333334,6,1.0,2,1,2,212,5
C999993857195,4,9,2902.33,322.4811111111111,8,1.0,4,2,2,422,8
C999993857208,7,3,848.3100000000001,282.77000000000004,3,1.0,4,1,1,411,6
C999993857219,68,15,7929.02,528.6013333333334,12,0.0,2,3,4,234,9
C999993857220,11,20,9097.86,454.89300000000003,18,3.0,4,4,4,444,12
C999993857231,96,6,3489.31,581.5516666666666,6,1.0,2,1,2,212,5
C999993857242,19,6,3423.4900000000002,570.5816666666667,6,0.0,4,1,2,412,7
C999993857253,26,9,4130.27,458.91888888888894,9,0.0,3,2,3,323,8
C999993857264,79,20,10614.69,530.7345,18,0.0,2,4,4,244,10
C999993857275,28,3,2218.77,739.59,3,0.0,3,1,1,311,5
C999993857286,18,6,1735.6,289.26666666666665,6,1.0,4,1,1,411,6
C999993857297,43,15,5839.83,389.322,13,3.0,3,3,3,333,9
C999993857300,12,12,6865.86,572.155,11,0.0,4,3,4,434,11
C999993857311,26,9,10309.76,1145.528888888889,8,1.0,3,2,4,324,9
C999993857322,106,18,8615.11,478.61722222222227,17,2.0,2,4,4,244,10
C999993857333,100,6,2086.5,347.75,6,0.0,2,1,1,211,4
C999993857344,170,6,2627.7799999999997,437.9633333333333,4,2.0,1,1,2,112,4
C999993857355,174,6,2926.7200000000003,487.7866666666667,6,1.0,1,1,2,112,4
C999993857366,13,6,4622.05,770.3416666666667,6,0.0,4,1,3,413,8
C999993857377,282,6,3070.96,511.82666666666665,5,0.0,1,1,2,112,4
C999993857388,5,6,3376.7200000000003,562.7866666666667,6,0.0,4,1,2,412,7
C999993857399,70,6,3537.7,589.6166666666667,6,1.0,2,1,2,212,5
C999993857402,8,12,6745.26,562.105,10,1.0,4,3,4,434,11
C999993857413,34,15,8691.03,579.402,13,1.0,3,3,4,334,10
C999993857424,11,6,3426.09,571.015,6,0.0,4,1,2,412,7
C999993857435,176,9,6851.84,761.3155555555555,8,1.0,1,2,4,124,7
C999993857446,18,3,1543.62,514.54,3,0.0,4,1,1,411,6
C999993857457,32,15,8866.46,591.0973333333333,14,0.0,3,3,4,334,10
C999993857468,73,20,9346.42,467.321,18,2.0,2,4,4,244,10
C999993857479,24,6,2744.66,457.4433333333333,6,2.0,3,1,2,312,6
C999993857480,59,6,4000.17,666.695,6,1.0,2,1,3,213,6
C999993857491,90,9,5811.4400000000005,645.7155555555556,8,2.0,2,2,3,223,7
C999993857504,106,20,8091.84,404.592,18,3.0,2,4,4,244,10
C999993857515,147,3,1880.35,626.7833333333333,2,0.0,1,1,1,111,3
C999993857526,149,6,2960.55,493.425,6,2.0,1,1,2,112,4
C999993857537,33,15,6069.04,404.60266666666666,13,1.0,3,3,4,334,10
C999993857548,8,12,6006.44,500.53666666666663,10,4.0,4,3,4,434,11
C999993857559,47,9,5329.3099999999995,592.1455555555555,8,2.0,3,2,3,323,8
C999993857560,26,18,10273.97,570.776111111111,16,2.0,3,4,4,344,11
C999993857571,77,6,1842.67,307.1116666666667,5,0.0,2,1,1,211,4
C999993857582,101,6,2690.34,448.39000000000004,6,1.0,2,1,2,212,5
C999993857593,356,6,2398.48,399.74666666666667,6,0.0,1,1,2,112,4
C999993857605,83,6,2786.14,464.3566666666666,6,1.0,2,1,2,212,5
C999993857616,123,6,2105.17,350.8616666666667,6,0.0,1,1,1,111,3
C999993857627,8,6,1828.8600000000001,304.81,6,0.0,4,1,1,411,6
C999993857638,394,6,2343.33,390.555,6,0.0,1,1,1,111,3
C999993857649,0,6,1378.65,229.775,6,1.0,4,1,1,411,6
C999993857650,88,6,3478.06,579.6766666666666,6,0.0,2,1,2,212,5
C999993857661,39,6,2992.87,498.81166666666667,6,1.0,3,1,2,312,6
C999993857672,54,12,5060.83,421.73583333333335,10,1.0,2,3,3,233,8
C999993857683,62,15,7953.69,530.246,14,3.0,2,3,4,234,9
C999993857694,37,6,3555.36,592.5600000000001,5,0.0,3,1,2,312,6
C999993857707,1,9,4103.09,455.8988888888889,8,1.0,4,2,3,423,9
C999993857718,25,3,2026.0300000000002,675.3433333333334,3,0.0,3,1,1,311,5
C999993857729,7,15,5724.7,381.64666666666665,15,2.0,4,3,3,433,10
C999993857730,95,20,9410.03,470.5015,17,4.0,2,4,4,244,10
C999993857741,48,6,1724.59,287.4316666666667,6,0.0,3,1,1,311,5
C999993857752,39,6,3244.26,540.71,6,3.0,3,1,2,312,6
C999993857763,0,9,3702.7799999999997,411.41999999999996,9,0.0,4,2,3,423,9
C999993857774,45,20,6021.52,301.076,17,2.0,3,4,4,344,11
C999993857785,92,3,1358.01,452.67,3,0.0,2,1,1,211,4
C999993857796,330,6,2290.86,381.81,6,2.0,1,1,1,111,3
C999993857809,13,15,6767.22,451.148,15,1.0,4,3,4,434,11
C999993857810,16,12,5463.64,455.30333333333334,12,2.0,4,3,3,433,10
C999993857821,23,9,4455.52,495.0577777777778,9,1.0,3,2,3,323,8
C999993857832,23,18,10495.6,583.088888888889,17,1.0,3,4,4,344,11
C999993857843,451,6,3919.03,653.1716666666667,6,2.0,1,1,3,113,5
C999993857854,16,3,1140.1200000000001,380.04,3,0.0,4,1,1,411,6
C999993857865,137,3,4946.030000000001,1648.676666666667,3,0.0,1,1,3,113,5
C999993857876,182,3,1729.3200000000002,576.44,3,0.0,1,1,1,111,3
C999993857887,170,3,983.44,327.81333333333333,3,0.0,1,1,1,111,3
C999993857898,21,3,1557.79,519.2633333333333,3,0.0,4,1,1,411,6
C999993857901,26,3,999.8000000000001,333.2666666666667,3,0.0,3,1,1,311,5
C999993857912,187,3,316.07,105.35666666666667,3,0.0,1,1,1,111,3
C999993857923,322,3,433.3,144.43333333333334,3,0.0,1,1,1,111,3
C999993857934,223,3,1390.02,463.34,3,0.0,1,1,1,111,3
C999993857945,51,12,8075.65,672.9708333333333,10,3.0,3,3,4,334,10
C999993857956,110,15,7849.97,523.3313333333333,12,3.0,2,3,4,234,9
C999993857967,220,6,2954.37,492.395,6,0.0,1,1,2,112,4
C999993857978,14,9,3570.35,396.7055555555555,9,1.0,4,2,2,422,8
C999993857989,59,3,1514.14,504.71333333333337,3,0.0,2,1,1,211,4
C999993857990,38,15,7568.05,504.5366666666667,14,2.0,3,3,4,334,10
C999993858008,22,20,11305.06,565.2529999999999,17,3.0,3,4,4,344,11
C999993858019,41,6,2899.16,483.1933333333333,6,0.0,3,1,2,312,6
C999993858020,131,6,3737.3,622.8833333333333,6,0.0,1,1,3,113,5
C999993858031,4,9,6833.93,759.3255555555556,9,0.0,4,2,4,424,10
C999993858042,17,20,8986.25,449.3125,15,2.0,4,4,4,444,12
C999993858053,114,3,1133.5900000000001,377.8633333333334,3,0.0,2,1,1,211,4
C999993858064,239,6,1590.36,265.06,6,1.0,1,1,1,111,3
C999993858075,12,15,11390.0,759.3333333333334,15,3.0,4,3,4,434,11
C999993858086,81,12,4186.66,348.8883333333333,10,3.0,2,3,3,233,8
C999993858097,17,9,3486.12,387.34666666666664,9,1.0,4,2,2,422,8
C999993858100,61,18,11032.09,612.8938888888889,15,2.0,2,4,4,244,10
C999993858111,11,6,3537.63,589.605,6,2.0,4,1,2,412,7
C999993858122,111,6,2902.38,483.73,6,1.0,2,1,2,212,5
C999993858133,31,6,1770.34,295.0566666666667,5,0.0,3,1,1,311,5
C999993858144,23,6,3296.4900000000002,549.4150000000001,5,0.0,3,1,2,312,6
C999993858155,57,6,3127.24,521.2066666666666,5,0.0,2,1,2,212,5
C999993858166,111,6,2769.7200000000003,461.62000000000006,6,0.0,2,1,2,212,5
C999993858177,32,6,5522.14,920.3566666666667,6,0.0,3,1,3,313,7
C999993858188,232,6,3982.92,663.82,6,3.0,1,1,3,113,5
C999993858199,87,6,2675.2599999999998,445.8766666666666,5,0.0,2,1,2,212,5
C999993858202,93,12,4397.87,366.4891666666667,11,3.0,2,3,3,233,8
C999993858213,12,15,4818.54,321.236,13,0.0,4,3,3,433,10
C999993858224,245,6,2678.74,446.45666666666665,4,1.0,1,1,2,112,4
C999993858235,90,9,5577.25,619.6944444444445,9,2.0,2,2,3,223,7
