客户ID,客户姓名,性别,年龄,婚姻状态,城市,教育程度,会员等级,个人年收入,工作年限,注册日期,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,客户生命周期
C999993820925,anon_S2055,女,49,未婚,辽宁,本科,D-风险客户,31111,26,2022-04-01,78,9,4400.0599999999995,488.8955555555555,9,0.0,2,2,3,223,7,912
C999993820889,anon_S2051,男,28,已婚,辽宁,本科,D-风险客户,31050,5,2023-12-15,139,9,4159.01,462.1122222222223,9,2.0,1,2,3,123,6,289
C999993820630,anon_S2026,男,30,已婚,上海,硕士及以上,D-风险客户,30874,5,2023-06-15,233,6,4572.02,762.0033333333334,6,1.0,1,1,3,113,5,472
C999993820595,anon_S2022,男,53,未婚,河南,本科,D-风险客户,30744,30,2022-02-08,186,6,2569.27,428.21166666666664,6,2.0,1,1,2,112,4,964
C999993820584,anon_S2021,男,47,已婚,北京,本科,D-风险客户,30744,24,2022-05-06,130,3,1684.43,561.4766666666667,3,1.0,1,1,1,111,3,877
C999993820415,anon_S2004,女,47,未婚,江苏,本科,D-风险客户,30650,24,2023-03-27,37,9,4220.84,468.9822222222222,8,1.0,3,2,3,323,8,552
C999993820346,anon_S1997,男,29,未婚,湖南,硕士及以上,D-风险客户,30650,4,2022-06-22,230,6,3659.8,609.9666666666667,5,1.0,1,1,3,113,5,830
C999993817027,anon_S1665,女,40,未婚,内蒙古,硕士及以上,D-风险客户,26018,15,2023-10-15,76,6,3542.06,590.3433333333334,6,1.0,2,1,2,212,5,350
C999993811172,anon_S1080,女,41,已婚,湖南,硕士及以上,D-风险客户,21450,16,2022-08-08,21,6,5410.34,901.7233333333334,6,2.0,4,1,3,413,8,783
C999993804798,anon_S442,女,43,已婚,宁夏,硕士及以上,D-风险客户,13984,18,2023-09-30,108,6,3657.64,609.6066666666667,6,2.0,2,1,3,213,6,365
C999993803647,anon_S262,男,43,未婚,江西,硕士及以上,D-风险客户,13013,18,2022-02-27,74,9,6986.96,776.3288888888889,8,1.0,2,2,4,224,8,945
C999993881446,anon_S8082,男,26,未婚,广东,高中,D-风险客户,490000,8,2023-10-22,175,18,11041.279999999999,613.4044444444444,15,3.0,1,4,4,144,9,343
C999993880306,anon_S7968,男,26,已婚,江苏,高中,D-风险客户,465000,8,2023-04-21,21,9,5382.13,598.0144444444445,8,3.0,4,2,3,423,9,527
C999993878182,anon_S7756,男,19,未婚,湖北,初中及以下,D-风险客户,420000,8,2023-04-01,55,15,8028.26,535.2173333333334,13,3.0,2,3,4,234,9,547
C999993878013,anon_S7739,女,19,未婚,山东,初中及以下,D-风险客户,413000,19,2022-12-27,12,9,3821.81,424.6455555555556,9,1.0,4,2,3,423,9,642
C999993877869,anon_S7724,男,20,未婚,浙江,初中及以下,D-风险客户,410005,6,2022-01-01,147,12,4736.78,394.7316666666666,12,2.0,1,3,3,133,7,1002
C999993877745,anon_S7712,男,41,未婚,广东,初中及以下,D-风险客户,400802,8,2023-01-22,23,6,5314.4800000000005,885.7466666666668,6,0.0,3,1,3,313,7,616
C999993876015,anon_S7539,男,22,已婚,辽宁,高中,D-风险客户,360000,4,2022-12-14,102,6,2192.5,365.4166666666667,6,1.0,2,1,1,211,4,655
C999993875862,anon_S7524,男,25,已婚,河南,高中,D-风险客户,358000,7,2022-07-09,16,20,11414.52,570.726,17,5.0,4,4,4,444,12,813
C999993874427,anon_S7381,男,25,已婚,青海,高中,D-风险客户,335000,7,2023-05-20,179,3,1529.8799999999999,509.96,3,0.0,1,1,1,111,3,498
C999993873310,anon_S7270,男,20,未婚,山东,初中及以下,D-风险客户,308000,8,2022-07-10,89,6,1981.19,330.1983333333333,6,1.0,2,1,1,211,4,812
C999993872850,anon_S7225,男,22,已婚,福建,高中,D-风险客户,298000,4,2023-05-23,208,9,4320.96,480.1066666666667,8,2.0,1,2,3,123,6,495
C999993872419,anon_S7181,男,24,未婚,天津,高中,D-风险客户,286420,6,2023-01-04,53,18,9288.54,516.0300000000001,15,4.0,3,4,4,344,11,634
C999993872395,anon_S7179,男,23,已婚,湖北,高中,D-风险客户,286420,5,2023-02-13,65,12,5969.68,497.47333333333336,9,2.0,2,3,4,234,9,594
C999993871685,anon_S7108,男,23,已婚,内蒙古,高中,D-风险客户,270000,5,2022-04-27,5,15,7605.82,507.05466666666666,13,3.0,4,3,4,434,11,886
C999993870284,anon_S6969,男,20,已婚,广西,初中及以下,D-风险客户,240000,8,2022-05-14,69,15,6845.27,456.35133333333334,12,5.0,2,3,4,234,9,869
C999993869075,anon_S6848,男,26,未婚,重庆,高中,D-风险客户,226050,8,2022-02-27,11,6,4083.18,680.53,6,0.0,4,1,3,413,8,945
C999993868141,anon_S6755,男,22,已婚,上海,高中,D-风险客户,208000,4,2023-07-10,58,3,1257.24,419.08,3,0.0,2,1,1,211,4,447
C999993867261,anon_S6668,男,22,已婚,广西,高中,D-风险客户,195750,4,2023-11-16,30,9,7031.19,781.2433333333333,8,0.0,3,2,4,324,9,318
C999993867078,anon_S6649,男,26,未婚,湖南,高中,D-风险客户,194000,8,2023-11-03,112,3,742.5899999999999,247.52999999999997,3,0.0,2,1,1,211,4,331
C999993866993,anon_S6641,女,26,未婚,陕西,高中,D-风险客户,193000,8,2022-06-22,12,6,2316.2200000000003,386.0366666666667,6,2.0,4,1,1,411,6,830
C999993866891,anon_S6631,女,22,已婚,宁夏,高中,D-风险客户,191400,4,2022-05-29,19,15,11519.3,767.9533333333333,13,1.0,4,3,4,434,11,854
C999993866813,anon_S6623,男,26,未婚,北京,高中,D-风险客户,190000,8,2022-03-21,100,15,6334.32,422.28799999999995,12,2.0,2,3,4,234,9,923
C999993864601,anon_S6402,女,28,未婚,安徽,大专,D-风险客户,158000,8,2022-08-01,53,6,2098.7200000000003,349.7866666666667,6,1.0,3,1,1,311,5,790
C999993864588,anon_S6400,男,20,未婚,河北,初中及以下,D-风险客户,158000,15,2022-07-22,45,6,4592.07,765.3449999999999,6,3.0,3,1,3,313,7,800
C999993864511,anon_S6393,男,20,未婚,广东,初中及以下,D-风险客户,158000,19,2022-08-17,60,6,2330.84,388.47333333333336,6,0.0,2,1,1,211,4,774
C999993864260,anon_S6368,男,26,未婚,上海,高中,D-风险客户,155060,8,2023-11-07,2,6,2570.24,428.3733333333333,6,0.0,4,1,2,412,7,327
C999993863142,anon_S6256,女,23,已婚,广西,高中,D-风险客户,150000,5,2022-08-15,5,6,2287.01,381.16833333333335,6,0.0,4,1,1,411,6,776
C999993862820,anon_S6224,男,26,未婚,北京,高中,D-风险客户,149400,8,2023-10-21,207,6,2639.85,439.97499999999997,6,2.0,1,1,2,112,4,344
C999993862784,anon_S6220,女,26,未婚,湖南,高中,D-风险客户,148000,8,2023-06-16,265,3,1765.65,588.5500000000001,3,1.0,1,1,1,111,3,471
C999993861893,anon_S6131,男,20,未婚,安徽,初中及以下,D-风险客户,132400,6,2023-03-17,20,20,8576.4,428.82,17,2.0,4,4,4,444,12,562
C999993861247,anon_S6066,男,20,未婚,河北,初中及以下,D-风险客户,123000,6,2023-02-06,36,15,8394.050000000001,559.6033333333334,14,3.0,3,3,4,334,10,601
C999993860312,anon_S5973,女,26,未婚,河北,高中,D-风险客户,115000,8,2022-02-16,47,20,7919.25,395.9625,16,4.0,3,4,4,344,11,956
C999993859691,anon_S5911,男,20,未婚,北京,初中及以下,D-风险客户,110000,8,2022-08-21,107,6,2535.64,422.6066666666666,5,2.0,2,1,2,212,5,770
C999993859590,anon_S5902,男,26,未婚,北京,高中,D-风险客户,110000,8,2022-11-01,133,6,3181.69,530.2816666666666,6,2.0,1,1,2,112,4,698
C999993859103,anon_S5853,男,20,未婚,湖南,初中及以下,D-风险客户,105000,6,2023-06-10,20,9,4898.2,544.2444444444444,8,0.0,4,2,3,423,9,477
C999993857854,anon_S5732,男,26,已婚,重庆,高中,D-风险客户,102000,8,2022-05-23,16,3,1140.1200000000001,380.04,3,0.0,4,1,1,411,6,860
C999993857457,anon_S5692,男,20,未婚,福建,初中及以下,D-风险客户,100000,6,2023-02-19,32,15,8866.46,591.0973333333333,14,0.0,3,3,4,334,10,588
C999993856623,anon_S5609,女,20,丧偶,江苏,初中及以下,D-风险客户,95000,5,2023-05-28,1,6,5759.12,959.8533333333334,5,0.0,4,1,3,413,8,490
C999993855879,anon_S5534,男,25,已婚,江西,高中,D-风险客户,90000,7,2023-01-08,11,6,2175.38,362.56333333333333,5,0.0,4,1,1,411,6,630
C999993855427,anon_S5490,男,23,已婚,甘肃,高中,D-风险客户,87750,5,2023-07-20,206,6,2321.71,386.95166666666665,6,2.0,1,1,1,111,3,437
C999993855405,anon_S5488,男,26,未婚,河南,高中,D-风险客户,87750,8,2022-09-16,24,20,12890.35,644.5175,16,0.0,3,4,4,344,11,744
C999993854036,anon_S5352,男,41,已婚,山东,大专,D-风险客户,80000,21,2023-10-18,143,6,3606.37,601.0616666666666,6,2.0,1,1,2,112,4,347
C999993853848,anon_S5333,男,58,未婚,陕西,大专,D-风险客户,80000,38,2023-04-16,26,6,1532.37,255.39499999999998,5,2.0,3,1,1,311,5,532
C999993853780,anon_S5327,女,48,未婚,安徽,本科,D-风险客户,79900,25,2022-01-12,186,6,3594.61,599.1016666666667,5,1.0,1,1,2,112,4,991
C999993853598,anon_S5308,男,41,已婚,湖北,大专,D-风险客户,79300,21,2022-11-26,22,6,4059.84,676.64,6,1.0,3,1,3,313,7,673
C999993853429,anon_S5291,女,56,未婚,天津,本科,D-风险客户,79000,33,2022-12-24,5,3,1495.7900000000002,498.59666666666675,3,0.0,4,1,1,411,6,645
C999993853418,anon_S5290,男,45,未婚,江西,本科,D-风险客户,79000,22,2023-02-12,2,20,9699.96,484.99799999999993,19,1.0,4,4,4,444,12,595
C999993853292,anon_S5278,男,47,已婚,贵州,本科,D-风险客户,78400,24,2023-10-30,542,3,2512.2799999999997,837.4266666666666,3,0.0,1,1,2,112,4,335
C999993853258,anon_S5274,女,62,已婚,青海,本科,D-风险客户,78400,39,2023-01-08,201,3,4365.07,1455.0233333333333,2,1.0,1,1,3,113,5,630
C999993852482,anon_S5197,男,33,已婚,山西,硕士及以上,D-风险客户,77300,8,2022-01-08,42,9,2593.16,288.12888888888887,9,1.0,3,2,2,322,7,995
C999993851397,anon_S5090,男,30,已婚,甘肃,硕士及以上,D-风险客户,75000,5,2022-05-02,7,3,1200.02,400.00666666666666,3,0.0,4,1,1,411,6,881
C999993838911,anon_S3853,男,29,未婚,上海,硕士及以上,D-风险客户,53000,4,2022-12-14,252,3,1047.8400000000001,349.28000000000003,3,1.0,1,1,1,111,3,655
C999993850916,anon_S5044,男,30,未婚,上海,硕士及以上,D-风险客户,75000,5,2023-11-07,15,9,3456.3099999999995,384.0344444444444,9,0.0,4,2,2,422,8,327
C999993850881,anon_S5041,男,46,未婚,山东,本科,D-风险客户,75000,23,2022-03-31,148,6,3186.5,531.0833333333334,5,0.0,1,1,2,112,4,913
C999993850654,anon_S5018,男,30,已婚,海南,硕士及以上,D-风险客户,74400,5,2023-10-10,29,15,7407.76,493.85066666666665,11,1.0,3,3,4,334,10,355
C999993849730,anon_S4929,男,59,已婚,山东,本科,D-风险客户,72000,36,2023-11-29,134,3,873.72,291.24,3,0.0,1,1,1,111,3,305
C999993849718,anon_S4927,男,45,已婚,北京,本科,D-风险客户,72000,22,2022-11-12,89,9,4657.17,517.4633333333334,9,1.0,2,2,3,223,7,687
C999993849672,anon_S4923,男,30,未婚,重庆,硕士及以上,D-风险客户,71000,5,2022-06-27,22,15,6100.41,406.694,12,1.0,3,3,4,334,10,825
C999993849231,anon_S4881,女,73,未婚,四川,本科,D-风险客户,70080,50,2023-06-24,6,20,8709.36,435.468,18,1.0,4,4,4,444,12,463
C999993849195,anon_S4877,男,46,未婚,河北,本科,D-风险客户,70074,23,2022-02-10,12,20,10148.8,507.43999999999994,15,0.0,4,4,4,444,12,962
C999993848283,anon_S4786,男,63,已婚,上海,本科,D-风险客户,69000,40,2023-12-05,39,6,2795.59,465.9316666666667,6,0.0,3,1,2,312,6,299
C999993848125,anon_S4770,男,53,未婚,山西,本科,D-风险客户,69000,30,2023-05-17,36,15,8637.08,575.8053333333334,12,2.0,3,3,4,334,10,501
C999993848012,anon_S4759,男,43,未婚,河南,大专,D-风险客户,68949,23,2022-05-25,3,6,2342.83,390.47166666666664,5,1.0,4,1,1,411,6,858
C999993847631,anon_S4722,男,51,未婚,广东,本科,D-风险客户,68800,28,2022-07-20,44,20,9449.12,472.456,17,3.0,3,4,4,344,11,802
C999993854615,anon_S5410,男,26,未婚,浙江,本科,D-风险客户,82600,3,2023-12-25,37,6,2119.8,353.3,6,1.0,3,1,1,311,5,279
C999993868209,anon_S6761,男,20,未婚,湖北,大专,D-风险客户,210000,0,2023-04-06,45,6,2428.37,404.7283333333333,6,0.0,3,1,2,312,6,542
C999993847187,anon_S4677,男,29,未婚,辽宁,本科,D-风险客户,68000,6,2023-07-12,107,12,5660.76,471.73,10,0.0,2,3,3,233,8,445
C999993841538,anon_S4115,男,37,已婚,湖南,硕士及以上,D-风险客户,56789,12,2023-07-01,31,6,2555.52,425.92,6,0.0,3,1,2,312,6,456
C999993821714,anon_S2134,男,34,未婚,宁夏,硕士及以上,D-风险客户,32410,9,2022-09-10,166,6,2774.35,462.39166666666665,6,0.0,1,1,2,112,4,750
C999993877892,anon_S7727,男,27,未婚,北京,高中,D-风险客户,410005,9,2023-01-25,13,9,6495.929999999999,721.77,9,0.0,4,2,4,424,10,613
C999993879129,anon_S7850,男,22,未婚,广西,本科,D-风险客户,440094,0,2023-08-17,21,3,957.2900000000001,319.0966666666667,3,0.0,4,1,1,411,6,409
C999993858359,anon_S5781,男,19,未婚,广西,初中及以下,D-风险客户,105000,10,2022-09-13,21,9,6407.0199999999995,711.8911111111111,8,1.0,4,2,4,424,10,747
C999993877519,anon_S7689,女,27,未婚,贵州,初中及以下,D-风险客户,400475,12,2023-12-10,209,6,5133.36,855.56,6,1.0,1,1,3,113,5,294
C999993822661,anon_S2229,男,18,未婚,内蒙古,高中,D-风险客户,33680,0,2023-03-26,32,6,2796.2700000000004,466.0450000000001,6,0.0,3,1,2,312,6,553
C999993879731,anon_S7911,男,23,未婚,江西,大专,D-风险客户,450000,3,2022-01-10,116,15,6549.57,436.638,13,2.0,1,3,4,134,8,993
C999993857887,anon_S5735,男,23,已婚,甘肃,大专,D-风险客户,102000,3,2022-08-30,170,3,983.44,327.81333333333333,3,0.0,1,1,1,111,3,761
C999993872204,anon_S7160,男,20,未婚,江西,初中及以下,D-风险客户,280000,9,2022-09-08,52,9,6590.74,732.3044444444445,9,0.0,3,2,4,324,9,752
C999993868072,anon_S6748,男,20,未婚,广东,大专,D-风险客户,205200,0,2022-01-05,212,3,1911.24,637.08,3,2.0,1,1,1,111,3,998
C999993870636,anon_S7003,男,21,未婚,内蒙古,本科,D-风险客户,242960,0,2022-04-29,32,6,2057.16,342.85999999999996,5,0.0,3,1,1,311,5,884
C999993866879,anon_S6629,男,20,未婚,河北,大专,D-风险客户,191400,0,2023-01-09,133,3,1886.39,628.7966666666667,3,0.0,1,1,1,111,3,629
C999993879855,anon_S7923,男,23,已婚,宁夏,大专,D-风险客户,450000,3,2022-03-06,3,15,6593.14,439.54266666666666,13,3.0,4,3,4,434,11,938
C999993870885,anon_S7028,女,27,已婚,湖南,高中,D-风险客户,256000,9,2022-05-26,7,12,6398.55,533.2125,11,1.0,4,3,4,434,11,857
C999993877734,anon_S7711,男,29,未婚,甘肃,初中及以下,D-风险客户,400802,8,2022-08-12,15,6,2545.87,424.31166666666667,6,0.0,4,1,2,412,7,779
C999993854820,anon_S5431,男,26,未婚,上海,本科,D-风险客户,84480,3,2022-08-27,20,15,9389.84,625.9893333333333,15,1.0,4,3,4,434,11,764
C999993852903,anon_S5239,男,36,未婚,宁夏,硕士及以上,D-风险客户,77700,11,2022-06-26,62,9,5710.34,634.4822222222223,8,1.0,2,2,3,223,7,826
C999993868265,anon_S6767,男,24,未婚,山西,本科,D-风险客户,210000,1,2022-10-09,35,6,3561.87,593.645,6,1.0,3,1,2,312,6,721
C999993868083,anon_S6749,男,24,未婚,江苏,本科,D-风险客户,205200,1,2022-03-04,8,15,7101.42,473.428,12,2.0,4,3,4,434,11,940
C999993857898,anon_S5736,男,23,已婚,江西,本科,D-风险客户,102000,0,2022-08-05,21,3,1557.79,519.2633333333333,3,0.0,4,1,1,411,6,786
C999993880271,anon_S7965,男,28,已婚,福建,高中,D-风险客户,465000,10,2023-11-20,29,12,4490.51,374.2091666666667,11,1.0,3,3,3,333,9,314
C999993857821,anon_S5729,男,20,未婚,河南,初中及以下,D-风险客户,102000,12,2023-04-06,23,9,4455.52,495.0577777777778,9,1.0,3,2,3,323,8,542
C999993875294,anon_S7468,男,22,已婚,上海,大专,D-风险客户,350000,2,2023-09-02,14,6,2827.6,471.26666666666665,6,0.0,4,1,2,412,7,393
C999993866948,anon_S6636,女,22,已婚,黑龙江,本科,D-风险客户,192000,0,2022-04-15,3,6,2074.74,345.78999999999996,5,0.0,4,1,1,411,6,898
C999993868276,anon_S6768,男,24,未婚,河南,本科,D-风险客户,210000,1,2022-04-09,55,6,3957.39,659.5649999999999,6,0.0,2,1,3,213,6,904
C999993852732,anon_S5222,男,19,未婚,河南,高中,D-风险客户,77550,1,2023-05-26,265,3,1541.26,513.7533333333333,3,1.0,1,1,1,111,3,492
C999993879561,anon_S7894,男,19,未婚,安徽,大专,D-风险客户,450000,0,2023-01-20,81,20,8998.630000000001,449.9315,16,1.0,2,4,4,244,10,618
C999993871903,anon_S7130,男,28,未婚,陕西,高中,D-风险客户,275000,10,2023-02-09,249,3,1479.27,493.09,3,2.0,1,1,1,111,3,598
C999993879651,anon_S7903,女,23,未婚,四川,大专,D-风险客户,450000,3,2023-06-02,107,6,4337.55,722.9250000000001,6,0.0,2,1,3,213,6,485
C999993867975,anon_S6738,女,26,未婚,安徽,本科,D-风险客户,205000,3,2023-04-21,294,6,2163.71,360.61833333333334,6,1.0,1,1,1,111,3,527
C999993866960,anon_S6638,男,25,未婚,甘肃,本科,D-风险客户,192000,2,2023-12-10,8,6,3462.05,577.0083333333333,5,1.0,4,1,2,412,7,294
C999993866971,anon_S6639,男,25,未婚,黑龙江,本科,D-风险客户,192000,2,2023-10-07,88,6,4855.75,809.2916666666666,5,0.0,2,1,3,213,6,358
C999993827987,anon_S2761,男,35,已婚,浙江,硕士及以上,D-风险客户,39162,10,2023-03-13,39,15,7741.25,516.0833333333334,13,2.0,3,3,4,334,10,566
C999993857912,anon_S5738,男,25,未婚,广西,本科,D-风险客户,102000,2,2022-01-23,187,3,316.07,105.35666666666667,3,0.0,1,1,1,111,3,980
C999993868298,anon_S6770,男,24,未婚,河南,本科,D-风险客户,211920,1,2023-07-19,100,6,2848.45,474.7416666666666,6,0.0,2,1,2,212,5,438
C999993826086,anon_S2571,男,36,未婚,江西,硕士及以上,D-风险客户,37939,11,2023-11-08,303,3,690.87,230.29,3,2.0,1,1,1,111,3,326
C999993854343,anon_S5383,男,23,未婚,广西,大专,D-风险客户,80660,3,2023-12-15,62,6,1992.9199999999998,332.1533333333333,6,1.0,2,1,1,211,4,289
C999993868005,anon_S6741,男,24,已婚,甘肃,本科,D-风险客户,205000,1,2023-04-03,171,6,3368.33,561.3883333333333,6,2.0,1,1,2,112,4,545
C999993871482,anon_S7088,男,23,未婚,安徽,大专,D-风险客户,260738,3,2022-03-24,4,9,6205.95,689.55,9,1.0,4,2,4,424,10,920
C999993870375,anon_S6977,男,22,已婚,河南,大专,D-风险客户,240000,2,2022-05-25,46,6,3113.81,518.9683333333334,6,1.0,3,1,2,312,6,858
C999993868301,anon_S6771,男,20,未婚,上海,大专,D-风险客户,211920,0,2022-03-26,153,12,5625.76,468.81333333333333,10,2.0,1,3,3,133,7,918
C999993853145,anon_S5263,女,19,已婚,甘肃,高中,D-风险客户,78000,1,2022-03-19,40,9,3167.85,351.98333333333335,8,0.0,3,2,2,322,7,925
C999993867771,anon_S6718,男,20,未婚,安徽,初中及以下,D-风险客户,198939,12,2023-04-02,156,6,3604.6400000000003,600.7733333333334,6,1.0,1,1,2,112,4,546
C999993821963,anon_S2159,女,36,已婚,上海,硕士及以上,D-风险客户,32562,11,2022-01-01,33,6,2857.39,476.2316666666666,5,0.0,3,1,2,312,6,1002
C999993851910,anon_S5141,男,20,已婚,四川,高中,D-风险客户,76000,2,2022-02-20,29,9,4520.23,502.24777777777774,9,1.0,3,2,3,323,8,952
C999993856634,anon_S5610,男,23,未婚,西藏,大专,D-风险客户,95000,3,2023-11-16,97,9,6192.62,688.0688888888889,8,1.0,2,2,4,224,8,318
C999993821271,anon_S2090,男,35,未婚,四川,硕士及以上,D-风险客户,31628,10,2023-12-18,40,15,6480.4800000000005,432.03200000000004,14,3.0,3,3,4,334,10,286
C999993870319,anon_S383,女,28,已婚,贵州,高中,D-风险客户,240000,10,2023-03-22,52,18,11151.26,619.5144444444445,15,2.0,3,4,4,344,11,557
C999993880758,anon_S8013,女,35,未婚,广东,初中及以下,D-风险客户,480000,8,2023-03-25,0,6,4024.6,670.7666666666667,5,1.0,4,1,3,413,8,554
C999993878954,anon_S7833,男,33,已婚,河北,初中及以下,D-风险客户,439400,8,2023-05-03,62,6,1911.27,318.545,6,0.0,2,1,1,211,4,515
C999993847405,anon_S4699,男,29,未婚,福建,本科,D-风险客户,68000,6,2022-02-03,104,9,4391.85,487.98333333333335,9,0.0,2,2,3,223,7,969
C999993854831,anon_S5432,男,26,未婚,山东,本科,D-风险客户,84480,3,2022-12-14,149,6,5450.3099999999995,908.3849999999999,6,0.0,1,1,3,113,5,655
C999993879118,anon_S7849,男,22,未婚,广东,本科,D-风险客户,440094,0,2022-04-05,293,3,1822.62,607.54,3,0.0,1,1,1,111,3,908
C999993853065,anon_S5255,男,20,已婚,陕西,高中,D-风险客户,78000,2,2022-03-13,37,15,6941.71,462.78066666666666,13,0.0,3,3,4,334,10,931
C999993857843,anon_S5731,男,26,未婚,广西,本科,D-风险客户,102000,3,2023-07-05,451,6,3919.03,653.1716666666667,6,2.0,1,1,3,113,5,452
C999993855370,anon_S5485,男,20,未婚,安徽,初中及以下,D-风险客户,87750,12,2022-06-03,33,9,3249.56,361.0622222222222,9,1.0,3,2,2,322,7,849
C999993820357,anon_S1998,男,36,已婚,重庆,硕士及以上,D-风险客户,30650,11,2022-09-07,15,9,5189.4400000000005,576.6044444444445,9,1.0,4,2,3,423,9,753
C999993860764,anon_S6018,男,28,已婚,北京,高中,D-风险客户,120000,10,2023-11-05,40,12,5519.25,459.9375,10,1.0,3,3,3,333,9,329
C999993868049,anon_S6745,男,21,已婚,广东,本科,D-风险客户,205200,0,2023-03-14,9,15,6303.76,420.2506666666667,13,1.0,4,3,4,434,11,565
C999993868323,anon_S6773,男,24,未婚,山西,本科,D-风险客户,211920,1,2022-04-28,43,6,2586.17,431.02833333333336,6,1.0,3,1,2,312,6,885
C999993861269,anon_S6068,女,28,未婚,甘肃,高中,D-风险客户,124400,10,2022-11-02,94,9,5819.349999999999,646.5944444444444,8,1.0,2,2,3,223,7,697
C999993866653,anon_S6607,男,20,未婚,广东,大专,D-风险客户,190000,0,2022-09-25,45,6,3072.29,512.0483333333333,6,0.0,3,1,2,312,6,735
C999993821781,anon_S2141,女,36,未婚,吉林,硕士及以上,D-风险客户,32410,11,2022-02-23,203,6,2331.54,388.59,6,1.0,1,1,1,111,3,949
C999993878932,anon_S7831,男,20,未婚,内蒙古,大专,D-风险客户,439400,0,2022-08-24,51,12,4409.82,367.48499999999996,11,2.0,3,3,3,333,9,767
C999993866686,anon_S6610,男,25,未婚,宁夏,本科,D-风险客户,190000,2,2023-01-24,50,6,3856.2,642.6999999999999,6,2.0,3,1,3,313,7,614
C999993866697,anon_S6611,男,25,未婚,海南,本科,D-风险客户,190000,2,2023-02-05,187,6,1705.69,284.2816666666667,6,0.0,1,1,1,111,3,602
C999993880689,anon_S8006,女,23,未婚,安徽,大专,D-风险客户,480000,3,2023-09-16,1,18,9953.84,552.9911111111111,16,0.0,4,4,4,444,12,379
C999993866711,anon_S6613,男,25,未婚,广东,本科,D-风险客户,190000,2,2022-10-30,0,6,1555.01,259.16833333333335,5,0.0,4,1,1,411,6,700
C999993866722,anon_S6614,男,25,未婚,福建,本科,D-风险客户,190000,2,2022-07-26,108,6,2845.29,474.215,6,0.0,2,1,2,212,5,796
C999993867125,anon_S6654,男,23,未婚,江西,本科,D-风险客户,194000,0,2022-08-17,2,9,4395.42,488.38,9,2.0,4,2,3,423,9,774
C999993867136,anon_S6655,女,28,离异,上海,高中,D-风险客户,194000,10,2023-08-01,23,20,7896.15,394.8075,16,0.0,3,4,4,344,11,425
C999993867396,anon_S6681,男,20,未婚,上海,大专,D-风险客户,196160,0,2022-03-16,57,18,7157.16,397.62,16,2.0,2,4,4,244,10,928
C999993861452,anon_S6087,男,27,未婚,河北,高中,D-风险客户,126084,9,2023-03-11,5,20,7760.05,388.0025,19,1.0,4,4,4,444,12,568
C999993847267,anon_S4685,男,29,未婚,吉林,本科,D-风险客户,68000,6,2022-04-13,154,3,2444.7799999999997,814.9266666666666,3,1.0,1,1,2,112,4,900
C999993879800,anon_S7918,男,23,未婚,江苏,大专,D-风险客户,450000,3,2023-02-26,117,6,2628.7599999999998,438.1266666666666,6,1.0,1,1,2,112,4,581
C999993822162,anon_S2179,男,37,已婚,甘肃,硕士及以上,D-风险客户,32762,12,2023-12-05,219,6,3997.73,666.2883333333333,6,1.0,1,1,3,113,5,299
C999993847530,anon_S4712,男,29,未婚,江西,本科,D-风险客户,68520,6,2022-11-02,77,6,4439.2,739.8666666666667,5,1.0,2,1,3,213,6,697
C999993827068,anon_S2669,男,35,未婚,河南,硕士及以上,D-风险客户,38645,10,2022-04-08,205,3,2694.54,898.18,3,1.0,1,1,2,112,4,905
C999993856135,anon_S5560,男,19,已婚,湖北,初中及以下,D-风险客户,92028,12,2022-12-01,16,12,6474.03,539.5024999999999,12,1.0,4,3,4,434,11,668
C999993868673,anon_S6808,女,28,未婚,四川,高中,D-风险客户,217458,10,2023-03-11,26,20,13157.18,657.859,19,0.0,3,4,4,344,11,568
C999993879447,anon_S7882,男,28,未婚,辽宁,高中,D-风险客户,450000,10,2023-03-23,20,6,3264.67,544.1116666666667,5,0.0,4,1,2,412,7,556
C999993868708,anon_S6811,男,20,未婚,重庆,初中及以下,D-风险客户,217458,12,2022-11-04,47,15,6594.89,439.65933333333334,10,1.0,3,3,4,334,10,695
C999993878068,anon_S7744,男,20,未婚,辽宁,大专,D-风险客户,415000,0,2022-09-06,225,3,1806.29,602.0966666666667,3,0.0,1,1,1,111,3,754
C999993868775,anon_S6818,男,23,已婚,广东,大专,D-风险客户,217958,3,2022-06-15,176,6,5392.95,898.8249999999999,6,0.0,1,1,3,113,5,837
C999993855325,anon_S5480,女,26,已婚,重庆,初中及以下,D-风险客户,87001,12,2023-04-26,24,9,5259.44,584.3822222222221,8,0.0,3,2,3,323,8,522
C999993879367,anon_S7874,男,23,未婚,湖北,大专,D-风险客户,449460,3,2022-12-01,18,18,10060.96,558.9422222222222,15,0.0,4,4,4,444,12,668
C999993820798,anon_S2042,男,30,未婚,湖北,本科,D-风险客户,30965,7,2023-06-26,47,9,5429.4,603.2666666666667,8,1.0,3,2,3,323,8,461
C999993879356,anon_S7873,男,23,已婚,河北,大专,D-风险客户,449460,3,2022-04-16,73,9,2652.65,294.7388888888889,8,1.0,2,2,2,222,6,897
C999993879323,anon_S7870,女,23,未婚,湖北,大专,D-风险客户,449460,3,2023-07-17,317,6,4066.3300000000004,677.7216666666667,6,0.0,1,1,3,113,5,440
